WindGustSpeed,WindGustDir,Humidity,Pressure,Temp,RainTomorrow,MaxTemp,MinTemp
30.0, nw  ,29.0,1015.0,23.6,yes,24.3,8.0
39.0, ene  ,36.0,1008.4,25.7,yes,26.9,14.0
85.0, nw  ,69.0,1007.2,20.2,yes,,13.7
54.0, nw  ,56.0,1007.0,14.1,yes,15.5,13.3
50.0, sse  ,49.0,1018.5,15.4,NO,16.1,7.6
44.0, nan  ,high,1021.7,14.8,NO,16.9,
43.0, se  ,47.0,1022.2,17.3,no,18.2,6.1
41.0, e  ,57.0,1024.2,15.5,NO,17.0,8.3
, s  ,48.0,1022.7,18.9,nan,19.5,8.8
31.0, e  ,32.0,1020.7,21.7,no,22.8,8.4
30.0, n  ,34.0,low,24.0,NO,25.2,
41.0, e  ,35.0,1019.9,26.0,NO,27.3,8.5
30.0, wnw  ,29.0,1017.1,27.1,NO,27.9,10.1
44.0, nw  ,20.0,,30.7,NO,,
41.0, nw  ,,1013.7,30.4,no,,10.1
46.0, e  ,22.0,1012.8,30.7,no,32.1,12.4
44.0, ese  ,23.0,1009.8,29.8,YES,31.2,13.8
52.0, s  ,,1013.0,,NO,30.0,11.7
39.0, e  ,25.0,1013.3,31.2,no,,12.4
33.0, ne  ,27.0,1013.7,32.0,NO,33.4,15.6
59.0, wnw  ,,1006.5,32.8,NO,33.4,15.3
26.0, e  ,72.0,1008.9,18.3,yes,19.4,
28.0, ese  ,79.0,1014.9,16.8,no,18.5,12.8
26.0, nne  ,57.0,,,NO,24.3,12.0
33.0, ene  ,31.0,1018.6,27.3,no,28.4,15.4
41.0, e  ,,1016.5,25.1,NO,26.9,15.6
, ene  ,,1018.6,21.2,no,22.2,
52.0, s  ,31.0,1014.8,26.7,NO,28.0,12.9
39.0, se  ,80.0,,19.7,nan,,15.1
30.0, nnw  ,49.0,1013.3,23.2,yes,24.1,13.6
41.0, sse  ,90.0,1014.1,16.3,YES,20.4,15.1
41.0, nne  ,,1009.5,25.2,NO,26.3,11.6
50.0, nw  ,60.0,1004.6,19.9,yes,24.2,16.6
50.0, nw  ,40.0,1006.3,25.1,no,26.5,13.3
43.0, nan  ,63.0,1015.3,,NAN,21.8,14.5
39.0, ene  ,54.0,1016.1,24.5,no,26.8,16.3
41.0, sw  ,74.0,1011.5,22.6,yes,25.8,17.2
39.0, nan  ,42.0,1011.4,26.3,NO,28.2,
, nw  ,24.0,1008.5,28.6,NO,29.4,15.0
, nnw  ,37.0,1010.4,22.9,NO,24.8,14.9
35.0, ene  ,63.0,1017.4,16.4,NAN,18.5,11.8
, ene  ,51.0,1019.6,19.4,NO,,11.7
39.0, nan  ,49.0,1019.3,19.2,nan,20.3,9.6
35.0, e  ,37.0,1012.5,25.0,no,27.1,
41.0, nan  ,36.0,1010.2,29.1,yes,29.9,10.1
, s  ,86.0,1008.6,,YES,21.1,15.5
48.0, ese  ,40.0,1016.8,,no,21.7,10.8
39.0, ene  ,43.0,1018.3,19.8,no,20.9,7.5
22.0, nan  ,54.0,1015.6,,YES,,12.8
30.0, nnw  ,74.0,1014.1,20.4,yes,23.1,12.6
41.0, n  ,48.0,1008.3,28.2,yes,29.5,14.8
76.0, nnw  ,62.0,996.8,19.6,YES,22.0,19.9
39.0, ene  ,49.0,1009.1,18.8,no,20.4,9.2
44.0, nw  ,43.0,1009.7,22.5,YES,24.4,12.4
41.0, e  ,52.0,1019.1,21.0,NO,21.7,11.3
41.0, nnw  ,35.0,1018.0,,NO,26.3,
65.0, nan  ,64.0,1014.3,19.0,nan,26.7,14.3
, nnw  ,44.0,,27.4,NO,28.3,15.1
30.0, nnw  ,30.0,1014.2,30.3,NO,31.6,14.4
39.0, e  ,18.0,1015.0,34.3,NO,35.0,15.4
31.0, ne  ,20.0,1015.6,32.2,NO,33.5,13.8
35.0, nne  ,20.0,1011.6,31.8,NO,34.2,
41.0, ese  ,,1008.7,,NO,35.0,
50.0, nan  ,55.0,1016.3,22.3,no,,15.9
46.0, nan  ,45.0,1013.0,23.9,NO,25.3,16.7
35.0, ne  ,,1007.4,26.8,no,,12.1
39.0, ene  ,34.0,1003.3,31.9,NAN,34.1,14.3
, nan  ,36.0,1009.5,31.3,no,33.9,16.5
46.0, e  ,44.0,1013.4,,no,30.3,
43.0, nan  ,,1015.9,27.9,no,29.9,17.5
33.0, ne  ,25.0,,32.2,nan,34.2,14.7
57.0, sse  ,24.0,1006.5,34.5,NO,35.8,17.5
50.0, sw  ,28.0,,34.0,YES,35.7,20.9
52.0, wnw  ,35.0,,31.8,NO,33.8,17.0
50.0, nan  ,57.0,,21.6,NO,22.8,16.0
35.0, w  ,26.0,1009.0,31.7,NO,33.8,15.4
59.0, n  ,62.0,1006.1,23.5,YES,33.2,17.9
46.0, e  ,42.0,1015.0,23.9,NO,25.1,15.2
39.0, ese  ,55.0,1015.8,19.4,yes,20.4,15.1
, ne  ,88.0,1006.0,18.6,NAN,19.6,15.3
50.0, nw  ,71.0,1004.0,21.9,no,,17.2
48.0, e  ,58.0,1012.1,18.6,no,19.9,15.9
33.0, e  ,46.0,1016.8,22.2,no,22.5,10.0
28.0, ne  ,38.0,1019.2,22.7,NAN,24.4,9.9
35.0, ene  ,29.0,,26.3,NO,27.8,10.3
41.0, e  ,32.0,1016.9,24.6,no,25.7,15.4
28.0, nan  ,28.0,1012.4,28.3,no,28.8,12.7
46.0, wsw  ,28.0,1009.5,30.7,no,31.3,13.2
44.0, nan  ,18.0,1012.0,32.1,NO,33.2,15.3
46.0, ene  ,22.0,1014.6,32.3,no,33.9,
69.0, nw  ,29.0,1013.7,33.1,NAN,34.9,18.0
39.0, ese  ,49.0,1012.8,26.3,YES,27.8,17.6
, sse  ,49.0,1017.1,22.9,no,23.8,16.0
30.0, nne  ,44.0,1014.5,27.0,NO,,14.9
48.0, e  ,38.0,1012.8,29.1,YES,29.6,17.1
33.0, ene  ,76.0,1011.5,22.1,yes,22.6,18.2
30.0, ese  ,71.0,1007.8,21.5,NO,,16.8
52.0, w  ,41.0,,26.5,NO,27.4,13.6
61.0, ssw  ,76.0,998.9,20.3,YES,24.2,14.5
41.0, ene  ,58.0,1005.0,18.7,NO,19.9,12.4
33.0, sse  ,51.0,1006.8,18.7,no,,
41.0, ene  ,37.0,1011.4,21.4,no,23.1,9.1
31.0, ne  ,34.0,1011.7,24.2,NAN,26.0,8.9
48.0, w  ,60.0,1006.8,22.6,YES,24.2,14.5
30.0, ene  ,73.0,1011.0,16.8,NO,18.2,12.6
33.0, e  ,37.0,1015.1,22.0,no,24.2,8.6
35.0, ene  ,32.0,1016.7,24.3,NO,25.2,10.8
39.0, ene  ,,,24.7,no,,11.2
46.0, nan  ,46.0,1021.4,22.5,NAN,24.1,
31.0, nan  ,42.0,1017.4,24.1,no,25.8,10.8
33.0, ne  ,38.0,1012.8,26.1,NAN,27.1,11.4
39.0, ese  ,31.0,1009.1,28.6,YES,28.9,12.0
50.0, s  ,56.0,1008.4,24.0,YES,24.8,16.3
50.0, w  ,,1002.3,27.4,NO,,12.7
46.0, nw  ,32.0,1005.4,24.5,no,25.1,12.7
44.0, nw  ,34.0,1007.2,22.9,no,23.8,12.0
44.0, nan  ,35.0,1014.3,24.3,no,25.9,11.5
44.0, nw  ,27.0,1014.4,27.0,no,28.2,13.0
48.0, w  ,25.0,1009.1,26.8,NO,,11.7
48.0, sse  ,78.0,1009.9,15.3,yes,17.3,14.8
48.0, s  ,,1014.5,16.8,no,18.4,
35.0, s  ,31.0,1019.3,20.0,NO,21.8,4.4
35.0, e  ,37.0,1023.2,22.1,NO,24.4,7.4
35.0, e  ,,1020.4,25.5,NO,27.3,8.3
39.0, ese  ,28.0,1018.2,27.0,NO,,10.1
46.0, e  ,35.0,1022.2,26.2,no,27.6,12.0
41.0, wsw  ,24.0,1019.3,30.0,NO,31.8,12.9
, e  ,34.0,1017.7,27.7,yes,29.2,10.8
24.0, nnw  ,39.0,1020.7,24.9,NO,27.4,9.5
41.0, e  ,33.0,1023.1,27.0,no,27.8,12.1
24.0, wnw  ,,1020.4,30.1,no,31.7,12.5
46.0, ssw  ,18.0,1019.3,32.7,NO,34.7,13.9
, wnw  ,23.0,1017.6,30.7,NO,31.7,13.3
39.0, ene  ,18.0,1017.7,31.7,no,33.1,13.2
22.0, w  ,15.0,1019.1,32.7,no,33.8,
48.0, se  ,15.0,1019.3,34.1,no,35.2,13.8
28.0, ne  ,17.0,1020.7,30.5,no,,11.3
33.0, ne  ,22.0,1020.6,28.8,no,30.2,11.7
, nw  ,30.0,,29.2,NAN,29.9,12.5
31.0, ne  ,48.0,1018.7,24.5,no,26.2,15.1
46.0, nw  ,35.0,1009.4,27.6,NO,29.3,
30.0, se  ,62.0,1019.3,13.9,NO,14.8,13.0
, e  ,64.0,1021.8,17.9,NAN,,11.6
30.0, ene  ,44.0,1019.3,24.2,NO,24.9,12.8
28.0, nw  ,68.0,1015.4,,YES,22.4,15.5
43.0, nnw  ,93.0,1006.5,,yes,17.4,13.1
46.0, w  ,50.0,1008.4,17.4,no,20.2,12.6
, n  ,36.0,1012.6,17.4,no,18.3,4.4
31.0, w  ,,1015.0,17.2,NO,18.2,4.4
57.0, nw  ,30.0,1011.3,18.2,no,18.5,7.1
50.0, wnw  ,34.0,1009.3,,no,18.9,4.2
, wnw  ,42.0,,16.5,no,,9.6
22.0, nnw  ,,1021.2,21.2,NO,,3.5
83.0, nnw  ,26.0,1010.5,,yes,23.3,5.3
63.0, wnw  ,,1012.7,,no,14.3,7.0
22.0, n  ,33.0,1019.1,17.6,no,18.9,0.4
26.0, e  ,,1022.3,,NO,21.4,3.2
35.0, e  ,35.0,1024.1,20.8,no,,5.9
31.0, ene  ,48.0,,19.5,no,20.5,8.1
39.0, ese  ,45.0,1025.4,17.8,NO,18.9,6.9
, sw  ,49.0,1021.8,,nan,19.5,5.6
26.0, e  ,28.0,1019.2,,NO,22.9,7.2
39.0, ese  ,29.0,1016.9,22.4,NO,23.4,
35.0, wnw  ,32.0,1015.8,23.7,yes,24.1,6.1
39.0, w  ,56.0,1013.8,19.1,yes,19.8,7.1
31.0, s  ,40.0,1019.6,17.9,no,18.0,5.6
28.0, sse  ,36.0,,20.4,NAN,20.7,5.4
31.0, s  ,39.0,1024.4,18.8,NO,19.3,6.3
26.0, wnw  ,44.0,,20.4,no,21.0,5.3
48.0, ese  ,43.0,1024.1,19.1,no,19.7,7.9
35.0, se  ,,,15.2,NO,16.1,8.4
33.0, ese  ,65.0,1024.2,15.6,no,18.7,8.1
30.0, nan  ,,1021.0,,NO,20.6,2.4
33.0, se  ,49.0,,17.7,no,18.9,5.6
26.0, ene  ,43.0,1022.2,18.1,no,19.0,7.5
28.0, ne  ,55.0,1019.8,17.6,nan,21.2,2.5
22.0, wnw  ,42.0,1014.3,20.6,NO,20.9,5.0
44.0, nw  ,34.0,1006.7,20.2,no,21.7,3.8
59.0, nw  ,51.0,997.7,16.6,yes,18.7,7.9
, w  ,60.0,1008.1,8.8,NO,11.3,4.3
22.0, nnw  ,40.0,1019.6,13.2,no,13.8,-2.1
28.0, n  ,40.0,1020.5,13.9,NO,14.8,-1.8
31.0, wnw  ,54.0,1018.5,12.4,no,13.8,
43.0, w  ,38.0,1017.3,15.9,no,17.3,2.1
31.0, nw  ,42.0,1017.4,16.2,no,17.1,0.5
30.0, nnw  ,42.0,1018.5,15.4,NO,16.7,-0.9
39.0, nw  ,41.0,1015.8,18.5,NO,19.0,
41.0, nw  ,53.0,1013.8,15.4,NO,16.8,7.5
43.0, wnw  ,43.0,1013.5,16.5,no,,
24.0, nw  ,44.0,1018.9,16.9,no,,
17.0, nnw  ,36.0,1020.3,20.7,NO,21.0,0.1
20.0, nw  ,41.0,1020.0,20.9,NO,20.9,1.5
20.0, e  ,52.0,1021.5,17.2,NO,,8.3
24.0, nan  ,47.0,1020.3,,nan,19.2,9.4
30.0, nnw  ,34.0,1021.4,18.6,NO,19.0,1.3
, nnw  ,44.0,1021.0,17.8,NO,18.6,2.2
, nw  ,,1018.7,17.7,YES,17.9,
35.0, nan  ,69.0,1013.7,15.2,no,16.0,4.5
52.0, nw  ,78.0,1005.9,7.3,nan,12.3,7.9
41.0, nw  ,53.0,1008.3,13.3,NO,14.1,4.3
52.0, w  ,36.0,1014.3,16.7,no,18.1,
31.0, wnw  ,52.0,1018.6,16.2,no,17.0,0.3
24.0, e  ,47.0,,16.6,no,17.4,3.8
20.0, nan  ,43.0,1026.0,13.8,no,14.7,2.4
17.0, se  ,49.0,1024.8,14.5,no,14.8,1.2
17.0, se  ,43.0,,13.9,NO,14.5,1.2
39.0, w  ,48.0,1021.8,17.2,YES,,-0.3
22.0, ese  ,,1023.1,17.9,nan,18.5,4.7
22.0, nnw  ,55.0,1022.3,17.7,no,,4.9
20.0, nan  ,50.0,1024.7,16.3,NO,16.8,1.4
, nw  ,45.0,1029.6,17.3,NO,17.5,2.2
, nan  ,46.0,1028.7,,NO,18.0,-0.1
22.0, nan  ,38.0,1027.4,18.2,NO,18.5,-0.9
, ne  ,67.0,,13.9,no,14.0,0.6
15.0, nne  ,67.0,1027.1,,NO,15.7,4.6
20.0, ese  ,86.0,1027.2,13.6,yes,14.4,9.8
41.0, sse  ,65.0,1025.7,13.3,NO,15.1,
31.0, s  ,65.0,1023.4,14.8,NO,15.1,7.8
22.0, nan  ,42.0,1022.1,16.2,no,16.7,4.4
, ne  ,42.0,1027.0,14.5,no,15.5,-0.2
30.0, nan  ,70.0,1031.7,13.0,NO,14.5,4.3
30.0, nan  ,65.0,1027.9,14.5,yes,16.3,7.4
31.0, nw  ,94.0,1024.3,11.6,yes,13.7,
46.0, nw  ,65.0,1022.1,13.7,NO,15.0,
43.0, nan  ,48.0,1019.7,,no,16.4,7.3
54.0, wnw  ,58.0,1014.1,,NO,13.0,8.7
48.0, s  ,49.0,1025.6,11.0,NO,,1.0
43.0, s  ,57.0,1026.3,13.8,no,14.7,2.1
26.0, ssw  ,51.0,1024.8,16.0,NO,,6.4
20.0, nan  ,58.0,1025.5,14.9,no,15.5,5.4
13.0, n  ,70.0,1023.5,15.0,no,15.5,0.4
17.0, nnw  ,63.0,1019.7,14.8,NAN,,
26.0, w  ,86.0,,11.3,nan,11.7,8.4
41.0, wnw  ,59.0,1021.0,12.1,NO,13.9,0.4
33.0, nw  ,44.0,1025.7,12.5,NO,14.0,
24.0, nan  ,53.0,1022.1,12.3,no,12.9,0.9
41.0, wnw  ,69.0,1024.2,11.7,NO,13.0,0.8
46.0, nw  ,54.0,1021.9,11.3,no,12.6,4.3
63.0, wnw  ,48.0,1020.4,11.5,no,11.8,6.3
35.0, nnw  ,51.0,1025.0,12.7,NO,14.3,3.5
15.0, nw  ,41.0,1026.0,14.5,no,14.8,-1.5
31.0, nnw  ,,1020.9,14.6,no,16.0,1.2
, w  ,68.0,1010.2,12.9,nan,15.4,0.5
78.0, nw  ,56.0,1012.3,11.1,NO,11.7,5.3
, wnw  ,53.0,1014.0,12.3,NO,13.1,6.6
31.0, n  ,53.0,,11.1,NO,11.5,-1.6
35.0, ese  ,52.0,1030.0,10.2,NO,12.0,-3.1
13.0, w  ,55.0,,12.6,NO,14.2,-0.1
41.0, nw  ,59.0,,,NO,14.0,-0.6
35.0, w  ,96.0,,8.6,yes,11.1,3.0
35.0, nw  ,72.0,1019.6,7.4,no,9.5,2.9
39.0, wnw  ,68.0,1016.8,8.0,no,8.8,-1.3
65.0, nw  ,85.0,1010.5,6.9,yes,8.7,1.8
59.0, nw  ,66.0,1018.2,,NO,8.4,2.9
20.0, n  ,54.0,,9.9,NO,11.1,-2.6
31.0, nnw  ,69.0,1021.9,,no,11.0,0.5
41.0, nnw  ,51.0,,15.9,NO,16.5,2.7
28.0, nnw  ,46.0,1020.1,13.3,no,13.6,-1.7
17.0, n  ,62.0,1020.8,12.1,no,12.8,-0.9
41.0, nnw  ,55.0,1013.9,11.0,NAN,,-1.8
46.0, nw  ,73.0,1009.4,8.2,YES,10.6,1.3
35.0, nw  ,48.0,1014.9,10.7,no,11.6,
41.0, wnw  ,87.0,1009.0,8.7,yes,11.0,-1.1
54.0, wnw  ,56.0,1010.3,,NO,11.6,2.3
39.0, s  ,33.0,1025.8,11.0,no,11.6,
26.0, ese  ,48.0,1031.1,10.1,no,11.2,-3.5
30.0, ese  ,51.0,1027.4,10.8,no,12.2,-1.0
, s  ,,1020.9,12.3,NO,12.9,-2.1
33.0, wnw  ,50.0,1015.3,10.9,NO,11.3,-2.0
28.0, sse  ,66.0,1010.0,7.8,YES,9.7,-2.3
59.0, s  ,56.0,1014.9,,no,10.7,-1.6
, nan  ,49.0,1016.8,11.2,NO,12.2,0.8
31.0, nnw  ,48.0,1014.6,11.5,no,12.2,-2.8
48.0, wnw  ,38.0,1012.9,12.8,NO,14.1,-2.8
65.0, nan  ,82.0,1001.3,8.6,YES,9.7,3.0
57.0, wnw  ,56.0,1014.9,10.5,NO,11.5,4.4
35.0, wnw  ,48.0,1018.1,11.6,no,12.8,2.3
, nan  ,60.0,1018.3,9.1,no,12.3,-2.0
50.0, s  ,72.0,1019.2,7.2,yes,10.9,-1.9
48.0, s  ,48.0,1017.6,13.6,no,14.1,4.8
41.0, nnw  ,78.0,,5.7,yes,11.1,-0.6
43.0, n  ,,1019.1,11.3,NO,12.5,3.1
43.0, nw  ,70.0,1019.0,8.1,NO,,-2.9
50.0, nw  ,,1012.6,5.1,NO,,-3.5
39.0, n  ,60.0,1016.6,8.3,no,9.3,-0.3
59.0, wnw  ,63.0,1020.1,8.6,no,10.4,0.1
44.0, wnw  ,,1022.4,10.4,no,12.2,2.3
59.0, nw  ,45.0,1018.2,9.5,nan,10.7,2.1
52.0, wnw  ,51.0,1012.4,,no,14.7,4.6
, nnw  ,27.0,1011.8,13.5,NO,14.2,3.7
30.0, n  ,35.0,,10.8,NO,11.6,
, sse  ,30.0,1021.8,11.2,nan,12.5,-3.4
33.0, nw  ,47.0,1025.6,12.2,NO,13.1,-5.3
39.0, wnw  ,36.0,1024.4,12.4,NO,,0.0
46.0, nw  ,,1017.8,13.2,no,14.1,2.4
59.0, s  ,44.0,1016.8,,NO,,-0.6
54.0, s  ,38.0,1025.5,11.1,NO,11.6,2.3
22.0, nnw  ,28.0,1028.0,14.0,NO,14.4,-3.7
31.0, wnw  ,34.0,1024.4,12.8,no,14.2,-0.9
48.0, nan  ,23.0,1020.3,15.8,no,17.3,-1.5
30.0, ssw  ,23.0,1025.5,14.4,NAN,15.1,-3.3
30.0, ene  ,43.0,1025.9,12.3,NO,14.7,
28.0, e  ,45.0,1022.9,14.6,no,16.2,-0.2
39.0, nan  ,45.0,1017.5,15.4,yes,16.3,0.5
59.0, nw  ,85.0,,12.6,nan,17.2,6.1
46.0, nw  ,34.0,1021.7,14.3,no,14.8,4.1
28.0, wnw  ,,,,NO,16.7,0.1
41.0, ese  ,51.0,1033.2,11.1,NO,12.1,3.2
35.0, ene  ,61.0,1031.9,10.2,no,11.3,5.4
26.0, nan  ,73.0,1023.5,10.8,NO,12.4,5.8
, s  ,33.0,1016.2,15.7,no,16.1,6.3
35.0, nw  ,33.0,1013.9,15.5,no,16.7,-0.9
, se  ,37.0,1018.2,15.3,NO,15.5,0.2
43.0, sse  ,,1020.9,13.4,no,14.7,-3.7
30.0, n  ,35.0,1017.9,14.9,NAN,15.2,-2.7
31.0, nw  ,20.0,1013.9,16.3,no,16.6,-2.5
48.0, nw  ,27.0,1010.9,21.5,no,21.6,-0.5
50.0, nw  ,31.0,1011.4,25.1,NAN,25.5,9.0
67.0, nnw  ,43.0,1006.0,18.2,NAN,19.4,13.1
98.0, nw  ,33.0,,,yes,19.7,8.7
, wnw  ,33.0,1017.6,12.2,NO,13.2,3.9
20.0, ene  ,43.0,1022.1,13.7,NO,14.1,0.7
39.0, nnw  ,36.0,1015.6,17.8,NO,18.0,1.1
44.0, nw  ,30.0,1011.7,22.4,no,23.3,5.1
, nan  ,15.0,1010.9,21.3,NO,23.3,7.5
46.0, nnw  ,25.0,1015.1,18.3,no,,4.7
80.0, nw  ,50.0,1006.5,21.0,YES,21.9,3.2
50.0, nw  ,44.0,,14.3,no,16.2,7.8
31.0, e  ,,1027.7,16.5,no,17.3,
31.0, n  ,32.0,1026.9,18.1,NO,18.7,3.2
44.0, nnw  ,35.0,1020.6,20.0,no,20.9,2.5
50.0, nnw  ,25.0,1016.4,24.7,NO,25.7,
, wnw  ,25.0,1009.9,23.0,no,24.3,14.4
44.0, nw  ,32.0,1013.9,16.0,no,18.9,4.9
41.0, n  ,34.0,1017.0,16.3,no,16.8,2.3
46.0, n  ,16.0,1015.4,19.5,NO,20.6,1.4
46.0, nw  ,21.0,1014.1,26.7,no,27.6,5.6
70.0, nnw  ,22.0,1011.8,28.4,YES,28.9,16.8
33.0, nnw  ,65.0,1013.2,19.3,YES,20.7,14.4
43.0, nnw  ,46.0,1013.6,19.8,NO,21.3,10.3
65.0, w  ,40.0,1005.3,16.2,yes,18.0,11.2
57.0, nw  ,45.0,1013.3,14.6,NAN,16.0,0.3
44.0, n  ,33.0,1017.5,16.6,NO,17.9,0.5
31.0, nnw  ,,1024.2,18.8,NO,20.0,0.5
41.0, n  ,25.0,1024.9,,NAN,22.0,4.6
, nw  ,30.0,1023.8,20.6,no,22.4,8.2
30.0, nw  ,27.0,1021.5,22.3,no,23.9,4.5
70.0, ssw  ,47.0,1016.0,23.2,yes,26.1,
41.0, nw  ,,,19.4,NO,21.1,11.9
31.0, ene  ,42.0,1019.7,18.4,NO,19.6,9.2
28.0, nw  ,,,19.2,NO,21.0,4.4
, nan  ,34.0,1020.7,21.9,NO,24.1,
43.0, nw  ,31.0,1022.2,,NO,24.7,6.7
46.0, nw  ,30.0,1019.8,27.4,no,28.5,8.3
52.0, nw  ,20.0,1017.5,26.3,no,27.4,11.3
, ene  ,28.0,1018.6,18.5,NO,20.6,9.0
70.0, s  ,24.0,1023.1,14.3,NO,15.0,3.4
48.0, sse  ,25.0,1022.8,,no,18.0,3.2
39.0, nnw  ,29.0,,19.1,nan,20.7,0.9
43.0, n  ,16.0,1014.6,24.8,NO,25.5,3.3
43.0, nnw  ,,1014.2,25.9,no,26.1,7.9
76.0, nnw  ,15.0,1010.8,,NO,30.7,9.0
48.0, n  ,22.0,1016.9,,no,28.4,7.1
43.0, ese  ,,1022.8,18.3,nan,19.9,12.5
46.0, nw  ,,1016.2,25.9,no,26.9,12.5
78.0, nw  ,13.0,1009.2,28.6,NO,,12.3
, nan  ,60.0,1018.3,9.1,no,12.3,-2.0
30.0, nnw  ,49.0,1013.3,23.2,yes,24.1,13.6
39.0, ene  ,54.0,1016.1,24.5,no,26.8,16.3
70.0, s  ,24.0,1023.1,14.3,NO,15.0,3.4
57.0, nw  ,30.0,1011.3,18.2,no,18.5,7.1
